,0
lag_1,7.2797714778355145
hour_cos,3.530044675251792
lag_2,2.975437937085591
lag_48,2.177734564977977
hour_sin,1.787319103119863
lag_24,1.368361874232214
roll_mean_12,1.162117379052296
roll_std_6,1.0907774297017858
roll_mean_3,1.0254809455266063
roll_std_12,1.0038503722539005
roll_mean_6,0.9057453375014021
roll_mean_168,0.8759643569825151
dow_sin,0.8026037163204606
lag_168,0.7224378252786273
lag_12,0.7024944093492266
lag_6,0.44650595755803835
dow_cos,0.2920307053459993
lag_3,0.28254051738314984
roll_std_3,0.2227165714142778
roll_std_24,0.20574932703895996
roll_std_168,0.11828784791249873
roll_mean_24,0.04329187983558143
